,method,bnab,r2,cil,ciu,n
44,ic50,10-1074,0.739,0.624,0.818,581
50,ic50,10-996,0.427,0.258,0.557,121
2,ic50,2f5,0.678,0.567,0.760,688
30,ic50,2g12,0.436,0.255,0.574,681
42,ic50,35o22,0.068,0.025,0.109,287
54,ic50,3bnc117,0.450,0.353,0.532,630
38,ic50,4e10,0.157,0.126,0.187,690
52,ic50,8anc195,0.635,0.470,0.749,262
36,ic50,b12,0.444,0.279,0.572,731
6,ic50,ch01,0.293,0.190,0.382,240
4,ic50,hj16,0.013,0.010,0.015,298
46,ic50,nih45-46,0.329,0.240,0.407,269
18,ic50,pg16,0.348,0.269,0.418,441
28,ic50,pg9,0.432,0.344,0.508,603
0,ic50,pgdm1400,0.617,0.492,0.711,577
10,ic50,pgt121,0.555,0.461,0.632,656
8,ic50,pgt128,0.416,0.329,0.492,515
24,ic50,pgt135,0.181,0.08,0.271,245
14,ic50,pgt145,0.317,0.249,0.378,491
16,ic50,pgt151,0.353,0.257,0.437,271
22,ic50,vrc-ch31,0.219,0.126,0.303,284
32,ic50,vrc-pg04,0.331,0.212,0.433,313
56,ic50,vrc01,0.487,0.418,0.548,828
26,ic50,vrc03,0.351,0.241,0.445,356
48,ic50,vrc07,0.253,0.109,0.373,396
20,ic50,vrc26.08,0.561,0.432,0.661,407
12,ic50,vrc26.25,0.526,0.428,0.607,417
40,ic50,vrc29.03,0.282,0.159,0.387,205
34,ic50,vrc34.01,0.444,0.335,0.536,206
45,ic80,10-1074,0.664,0.536,0.756,542
51,ic80,10-996,0.396,0.252,0.513,121
3,ic80,2f5,0.284,0.187,0.369,182
31,ic80,2g12,0.066,0.013,0.116,182
43,ic80,35o22,0.027,0.006,0.048,205
55,ic80,3bnc117,0.354,0.277,0.423,544
39,ic80,4e10,0.097,0.058,0.134,208
53,ic80,8anc195,0.570,0.441,0.670,243
37,ic80,b12,0.249,0.128,0.354,231
7,ic80,ch01,-0.021,-0.027,-0.015,222
5,ic80,hj16,-0.177,-0.355,-0.022,12
47,ic80,nih45-46,0.184,0.102,0.259,232
19,ic80,pg16,0.191,0.089,0.282,217
29,ic80,pg9,0.353,0.254,0.438,402
1,ic80,pgdm1400,0.492,0.394,0.575,521
11,ic80,pgt121,0.570,0.468,0.653,542
9,ic80,pgt128,0.198,0.071,0.307,300
25,ic80,pgt135,NA,NA,NA,7
15,ic80,pgt145,0.111,0.069,0.152,358
17,ic80,pgt151,0.221,0.165,0.274,242
23,ic80,vrc-ch31,0.212,0.144,0.274,96
33,ic80,vrc-pg04,0.113,0.035,0.185,180
57,ic80,vrc01,0.311,0.245,0.370,572
27,ic80,vrc03,0.276,0.139,0.391,231
49,ic80,vrc07,0.280,0.166,0.378,392
21,ic80,vrc26.08,0.416,0.287,0.521,366
13,ic80,vrc26.25,0.542,0.464,0.609,400
41,ic80,vrc29.03,0.274,0.125,0.398,205
35,ic80,vrc34.01,0.271,0.178,0.353,205
