"","method","bnab","r2","cil","ciu","n"
"1","ic50","10-1074",0.650728679715701,0.523590995835759,0.743937553432384,581
"2","ic80","10-1074",0.591073495208566,0.475950115015437,0.680906548952177,542
"3","ic50","10-996",0.35974890924708,0.206763285741418,0.48322934145396,121
"4","ic80","10-996",0.243667633463739,0.0732523565590972,0.382746044493374,121
"5","ic50","2f5",0.600021618805966,0.481858526398332,0.691237406049473,687
"6","ic80","2f5",0.318582845442012,0.229139609964068,0.397647946985236,182
"7","ic50","2g12",0.600021618805966,0.481858526398332,0.691237406049473,687
"8","ic80","2g12",0.0612884857633775,-0.00495241190128337,0.123163150289577,182
"9","ic50","35o22",0.0224258482074216,-0.00460042079444789,0.0487250428411717,287
"10","ic80","35o22",0.00592864563617357,-0.0225192780447634,0.0335851080907716,205
"11","ic50","3bnc117",0.344246494898655,0.210839163923681,0.455101368701077,630
"12","ic80","3bnc117",0.325441299254127,0.261710520274884,0.383670696592643,544
"13","ic50","4e10",0.127903813094827,0.084821506858811,0.168958006646243,689
"14","ic80","4e10",0.0248756666929921,-0.0212404094059937,0.0689092826237553,208
"15","ic50","8anc195",0.581786552362894,0.478411511658072,0.664673412673446,262
"16","ic80","8anc195",0.492258660886799,0.376691082745737,0.58639887813557,243
"17","ic50","b12",0.38751980918791,0.221076720848105,0.518396748206493,730
"18","ic80","b12",0.211553126527202,0.114660122736628,0.29784200593045,231
"19","ic50","ch01",0.232933335763931,0.125528053629823,0.3271467771784,240
"20","ic80","ch01",-0.0967486710517615,-0.116658997948417,-0.0771933505786073,222
"21","ic50","hj16",0.00475499119867284,0.00366389853188365,0.00584488900440483,298
"22","ic80","hj16",-0.0967486710517615,-0.116658997948417,-0.0771933505786073,222
"23","ic50","nih45-46",0.291294548684515,0.203403367737359,0.369488400550146,269
"24","ic80","nih45-46",0.200331977616813,0.159294472576847,0.239366311790201,232
"25","ic50","pg16",0.290411611049155,0.21131304311144,0.361577267969197,440
"26","ic80","pg16",0.160500940902839,0.0954198271969096,0.2208997152335,217
"27","ic50","pg9",0.410114674128282,0.346295824847696,0.467703112653805,602
"28","ic80","pg9",0.257950232430569,0.165252024822156,0.340354365720345,402
"29","ic50","pgdm1400",0.558544030746932,0.444170587591719,0.649382763058938,577
"30","ic80","pgdm1400",0.454527382673478,0.36305343326193,0.532864463377502,521
"31","ic50","pgt121",0.518666339274676,0.417300981859961,0.602398346771262,655
"32","ic80","pgt121",0.513793088583117,0.423732552661641,0.589778735895274,542
"33","ic50","pgt128",0.348592173120748,0.229177535493364,0.449507277669777,514
"34","ic80","pgt128",0.241434070510133,0.151821256806105,0.321579002067395,300
"35","ic50","pgt135",0.139137805025717,0.0398043118750825,0.228195119077093,244
"36","ic80","pgt135",0.241434070510133,0.151821256806105,0.321579002067395,300
"37","ic50","pgt145",0.242034361834925,0.185148268219797,0.294949146903257,490
"38","ic80","pgt145",0.131886955308132,0.103090156184058,0.15975918476056,358
"39","ic50","pgt151",0.346887324738036,0.279538972286483,0.407939985398551,271
"40","ic80","pgt151",0.171755396797627,0.100547265166498,0.237326102676379,242
"41","ic50","vrc-ch31",0.238240656083349,0.173694498995046,0.297744844565851,284
"42","ic80","vrc-ch31",0.0609186375893302,-0.0689643989254418,0.175020415915097,96
"43","ic50","vrc-pg04",0.317196730090148,0.211259496488309,0.408905332839071,312
"44","ic80","vrc-pg04",0.131356682646298,0.0307101217110458,0.22155257195587,180
"45","ic50","vrc01",0.448144683293555,0.358606508740254,0.525183378492004,827
"46","ic80","vrc01",0.234754615716265,0.156331976878835,0.305887526706155,572
"47","ic50","vrc03",0.317135751660742,0.163804338560364,0.442351110914485,356
"48","ic80","vrc03",0.27194241494678,0.177120181624488,0.355838075844465,231
"49","ic50","vrc07",0.217666685262769,0.0861579524590734,0.330250323899292,396
"50","ic80","vrc07",0.1732565002082,0.0687748850334929,0.266015484910351,392
"51","ic50","vrc26.08",0.516840959987056,0.374355767461034,0.626876352717452,407
"52","ic80","vrc26.08",0.389019220477873,0.259052247779867,0.496189155271828,366
"53","ic50","vrc26.25",0.49417228354514,0.393660353379255,0.578022515664434,417
"54","ic80","vrc26.25",0.464781732134866,0.383014720570217,0.535712433007642,400
"55","ic50","vrc29.03",0.231247477822035,0.0203924287390677,0.396717157265042,205
"56","ic80","vrc29.03",0.0863434507951361,-0.189224905794118,0.298056838670466,205
"57","ic50","vrc34.01",0.332682416798043,0.196018421508235,0.446115721101609,206
"58","ic80","vrc34.01",0.223521610651982,0.142287418501662,0.297062090343535,205
"59","ic50","vrc38.01",0.282536332930728,0.072776788245221,0.444843369925663,242
"60","ic80","vrc38.01",0.223521610651982,0.142287418501662,0.297062090343535,205
